date,method,t_df,ewma_sigma
2025-06-03,Monte Carlo (Student-t),5.1527,
2025-06-04,Parametric (t + EWMA),8.1864,0.0159
2025-06-04,Monte Carlo (Student-t),5.1515,
2025-06-05,Parametric (t + EWMA),8.176,0.0154
2025-06-05,Monte Carlo (Student-t),5.1501,
2025-06-06,Parametric (t + EWMA),8.1736,0.015
2025-06-06,Monte Carlo (Student-t),5.1498,
2025-06-09,Parametric (t + EWMA),8.1696,0.0149
2025-06-09,Monte Carlo (Student-t),5.1442,
2025-06-10,Parametric (t + EWMA),8.1696,0.0145
2025-06-10,Monte Carlo (Student-t),5.1442,
2025-06-11,Parametric (t + EWMA),8.1679,0.0141
2025-06-11,Monte Carlo (Student-t),5.1433,
2025-06-12,Parametric (t + EWMA),8.1615,0.0137
2025-06-12,Monte Carlo (Student-t),5.1423,
2025-06-13,Parametric (t + EWMA),8.1514,0.0134
2025-06-13,Monte Carlo (Student-t),5.141,
2025-06-16,Parametric (t + EWMA),8.1615,0.0132
2025-06-16,Monte Carlo (Student-t),5.1395,
2025-06-17,Parametric (t + EWMA),8.1615,0.013
2025-06-17,Monte Carlo (Student-t),5.14,
2025-06-18,Parametric (t + EWMA),8.1754,0.0128
2025-06-18,Monte Carlo (Student-t),5.1416,
2025-06-20,Parametric (t + EWMA),8.1656,0.0124
2025-06-20,Monte Carlo (Student-t),5.1402,
2025-06-23,Parametric (t + EWMA),8.1662,0.0121
2025-06-23,Monte Carlo (Student-t),5.1375,
2025-06-24,Parametric (t + EWMA),8.1361,0.012
2025-06-24,Monte Carlo (Student-t),5.1325,
2025-06-25,Parametric (t + EWMA),8.1411,0.0119
2025-06-25,Monte Carlo (Student-t),5.1336,
2025-06-26,Parametric (t + EWMA),8.1308,0.0116
2025-06-26,Monte Carlo (Student-t),5.1322,
2025-06-27,Parametric (t + EWMA),8.1246,0.0114
2025-06-27,Monte Carlo (Student-t),5.1315,
2025-06-30,Parametric (t + EWMA),8.1167,0.0112
2025-06-30,Monte Carlo (Student-t),5.1285,
2025-07-01,Parametric (t + EWMA),8.1187,0.0109
2025-07-01,Monte Carlo (Student-t),5.1282,
2025-07-02,Parametric (t + EWMA),8.1109,0.0106
2025-07-02,Monte Carlo (Student-t),5.127,
2025-07-03,Parametric (t + EWMA),8.1047,0.0104
2025-07-03,Monte Carlo (Student-t),5.1261,
2025-07-07,Parametric (t + EWMA),8.123,0.0103
2025-07-07,Monte Carlo (Student-t),5.1268,
2025-07-08,Parametric (t + EWMA),8.1404,0.0102
2025-07-08,Monte Carlo (Student-t),5.1282,
2025-07-09,Parametric (t + EWMA),8.1312,0.0099
2025-07-09,Monte Carlo (Student-t),5.1268,
2025-07-10,Parametric (t + EWMA),8.1252,0.0098
2025-07-10,Monte Carlo (Student-t),5.1259,
2025-07-11,Parametric (t + EWMA),8.1252,0.0095
2025-07-11,Monte Carlo (Student-t),5.126,
2025-07-14,Parametric (t + EWMA),8.0863,0.0092
2025-07-14,Monte Carlo (Student-t),5.1189,
2025-07-15,Parametric (t + EWMA),8.0864,0.0089
2025-07-15,Monte Carlo (Student-t),5.1189,
2025-07-16,Parametric (t + EWMA),8.0785,0.0087
2025-07-16,Monte Carlo (Student-t),5.1176,
2025-07-17,Parametric (t + EWMA),8.07,0.0085
2025-07-17,Monte Carlo (Student-t),5.1164,
2025-07-18,Parametric (t + EWMA),8.0611,0.0083
2025-07-18,Monte Carlo (Student-t),5.1147,
2025-07-21,Parametric (t + EWMA),8.0709,0.008
2025-07-21,Monte Carlo (Student-t),5.1159,
2025-07-22,Parametric (t + EWMA),8.065,0.0078
2025-07-22,Monte Carlo (Student-t),5.1149,
2025-07-23,Parametric (t + EWMA),8.056,0.0076
2025-07-23,Monte Carlo (Student-t),5.1135,
2025-07-24,Parametric (t + EWMA),8.0572,0.0076
