date,method,confidence,window_start,window_days,var_usd,es_usd,actual_pnl_usd,breach
2025-10-13,Historical,0.99,2020-11-13,1232,35095985.25923014,43352150.08889325,16104200.886040244,False
2025-10-13,Parametric (Normal),0.95,2020-11-13,1232,20093484.67018374,25453537.191542886,16104200.886040244,False
2025-10-13,Parametric (Normal),0.97,2020-11-13,1232,23119984.385797765,28087675.296981797,16104200.886040244,False
2025-10-13,Parametric (Normal),0.99,2020-11-13,1232,28835293.220478326,33182071.988146134,16104200.886040244,False
2025-10-13,Monte Carlo (Student-t),0.95,2020-11-13,1232,18511434.217343144,28234513.011358246,16104200.886040244,False
2025-10-13,Monte Carlo (Student-t),0.97,2020-11-13,1232,23111623.248780206,33230161.721168194,16104200.886040244,False
2025-10-13,Monte Carlo (Student-t),0.99,2020-11-13,1232,32770990.336045537,46110337.56982203,16104200.886040244,False
2025-10-14,Historical,0.95,2020-11-16,1232,19364995.884855352,29018097.928979862,-2748129.812062509,False
2025-10-14,Historical,0.97,2020-11-16,1232,24193627.462494124,33860587.16723381,-2748129.812062509,False
2025-10-14,Historical,0.99,2020-11-16,1232,35095985.25923014,43352150.08889325,-2748129.812062509,False
2025-10-14,Parametric (Normal),0.95,2020-11-16,1232,20096260.182882026,25458547.19020867,-2748129.812062509,False
2025-10-14,Parametric (Normal),0.97,2020-11-16,1232,23124021.57851098,28093783.40888613,-2748129.812062509,False
2025-10-14,Parametric (Normal),0.99,2020-11-16,1232,28841712.997567363,33190303.84004628,-2748129.812062509,False
2025-10-14,Monte Carlo (Student-t),0.95,2020-11-16,1232,18524660.008281346,28777166.120135155,-2748129.812062509,False
2025-10-14,Monte Carlo (Student-t),0.97,2020-11-16,1232,23195589.923762526,34163490.142435886,-2748129.812062509,False
2025-10-14,Monte Carlo (Student-t),0.99,2020-11-16,1232,35217172.56112345,47311698.51999846,-2748129.812062509,False
2025-10-15,Historical,0.95,2020-11-16,1233,19362128.95748695,29018097.928979862,4880280.444239142,False
2025-10-15,Historical,0.97,2020-11-16,1233,24185527.303365447,33860587.16723381,4880280.444239142,False
2025-10-15,Historical,0.99,2020-11-16,1233,35094824.728298314,43352150.08889325,4880280.444239142,False
2025-10-15,Parametric (Normal),0.95,2020-11-16,1233,20091476.332766615,25451773.3841158,4880280.444239142,False
