date,method,t_df,ewma_sigma
2025-06-25,Parametric (t + EWMA),7.2972,0.0103
2025-06-25,Monte Carlo (Student-t),5.045,
2025-06-26,Parametric (t + EWMA),7.2928,0.01
2025-06-26,Monte Carlo (Student-t),5.044,
2025-06-27,Parametric (t + EWMA),7.2889,0.0099
2025-06-27,Monte Carlo (Student-t),5.0436,
2025-06-30,Parametric (t + EWMA),7.2917,0.0096
2025-06-30,Monte Carlo (Student-t),5.042,
2025-07-01,Parametric (t + EWMA),7.2944,0.0095
2025-07-01,Monte Carlo (Student-t),5.0427,
2025-07-02,Parametric (t + EWMA),7.2883,0.0092
2025-07-02,Monte Carlo (Student-t),5.0417,
2025-07-03,Parametric (t + EWMA),7.2812,0.009
2025-07-03,Monte Carlo (Student-t),5.0405,
2025-07-07,Parametric (t + EWMA),7.3039,0.0088
2025-07-07,Monte Carlo (Student-t),5.0434,
2025-07-08,Parametric (t + EWMA),7.3182,0.0088
2025-07-08,Monte Carlo (Student-t),5.0449,
2025-07-09,Parametric (t + EWMA),7.3109,0.0085
2025-07-09,Monte Carlo (Student-t),5.0437,
2025-07-10,Parametric (t + EWMA),7.3036,0.0083
2025-07-10,Monte Carlo (Student-t),5.0424,
2025-07-11,Parametric (t + EWMA),7.3045,0.0081
2025-07-11,Monte Carlo (Student-t),5.0425,
2025-07-14,Parametric (t + EWMA),7.3071,0.008
2025-07-14,Monte Carlo (Student-t),5.0415,
2025-07-15,Parametric (t + EWMA),7.3063,0.0078
2025-07-15,Monte Carlo (Student-t),5.0414,
2025-07-16,Parametric (t + EWMA),7.3196,0.0078
2025-07-16,Monte Carlo (Student-t),5.0422,
2025-07-17,Parametric (t + EWMA),7.3146,0.0077
2025-07-17,Monte Carlo (Student-t),5.0413,
2025-07-18,Parametric (t + EWMA),7.3146,0.0075
2025-07-18,Monte Carlo (Student-t),5.0412,
2025-07-21,Parametric (t + EWMA),7.3277,0.0073
2025-07-21,Monte Carlo (Student-t),5.0436,
2025-07-22,Parametric (t + EWMA),7.3277,0.0071
2025-07-22,Monte Carlo (Student-t),5.0436,
2025-07-23,Parametric (t + EWMA),7.3215,0.0069
2025-07-23,Monte Carlo (Student-t),5.0424,
2025-07-24,Parametric (t + EWMA),7.3219,0.0069
2025-07-24,Monte Carlo (Student-t),5.042,
2025-07-25,Parametric (t + EWMA),7.3144,0.0067
2025-07-25,Monte Carlo (Student-t),5.0404,
2025-07-28,Parametric (t + EWMA),7.3186,0.0065
2025-07-28,Monte Carlo (Student-t),5.041,
2025-07-29,Parametric (t + EWMA),7.3152,0.0064
2025-07-29,Monte Carlo (Student-t),5.0401,
2025-07-30,Parametric (t + EWMA),7.3105,0.0062
2025-07-30,Monte Carlo (Student-t),5.039,
2025-07-31,Parametric (t + EWMA),7.3084,0.006
2025-07-31,Monte Carlo (Student-t),5.038,
2025-08-01,Parametric (t + EWMA),7.3461,0.0067
2025-08-01,Monte Carlo (Student-t),5.0418,
2025-08-04,Parametric (t + EWMA),7.3938,0.007
2025-08-04,Monte Carlo (Student-t),5.0303,
2025-08-05,Parametric (t + EWMA),7.4079,0.0073
2025-08-05,Monte Carlo (Student-t),5.0318,
2025-08-06,Parametric (t + EWMA),7.4096,0.0072
2025-08-06,Monte Carlo (Student-t),5.0312,
2025-08-07,Parametric (t + EWMA),7.4035,0.007
2025-08-07,Monte Carlo (Student-t),5.0301,
2025-08-08,Parametric (t + EWMA),7.3979,0.0068
2025-08-08,Monte Carlo (Student-t),5.029,
2025-08-11,Parametric (t + EWMA),7.3429,0.0068
2025-08-11,Monte Carlo (Student-t),5.0122,
2025-08-12,Parametric (t + EWMA),7.3451,0.0066
2025-08-12,Monte Carlo (Student-t),5.0121,
2025-08-13,Parametric (t + EWMA),7.3613,0.007
2025-08-13,Monte Carlo (Student-t),5.0135,
2025-08-14,Parametric (t + EWMA),7.3616,0.007
2025-08-14,Monte Carlo (Student-t),5.0131,
2025-08-15,Parametric (t + EWMA),7.3501,0.0068
2025-08-15,Monte Carlo (Student-t),5.009,
2025-08-18,Parametric (t + EWMA),7.3581,0.0066
2025-08-18,Monte Carlo (Student-t),5.01,
2025-08-19,Parametric (t + EWMA),7.3487,0.0064
2025-08-19,Monte Carlo (Student-t),5.0084,
2025-08-20,Parametric (t + EWMA),7.3414,0.0062
2025-08-20,Monte Carlo (Student-t),5.0072,
2025-08-21,Parametric (t + EWMA),7.3341,0.0061
2025-08-21,Monte Carlo (Student-t),5.006,
2025-08-22,Parametric (t + EWMA),7.322,0.006
2025-08-22,Monte Carlo (Student-t),5.0025,
2025-08-25,Parametric (t + EWMA),7.3252,0.0065
2025-08-25,Monte Carlo (Student-t),4.9992,
2025-08-26,Parametric (t + EWMA),7.3354,0.0066
2025-08-26,Monte Carlo (Student-t),4.9973,
2025-08-27,Parametric (t + EWMA),7.3294,0.0064
2025-08-27,Monte Carlo (Student-t),4.9962,
2025-08-28,Parametric (t + EWMA),7.3224,0.0062
2025-08-28,Monte Carlo (Student-t),4.9951,
2025-08-29,Parametric (t + EWMA),7.3062,0.0061
2025-08-29,Monte Carlo (Student-t),4.99,
2025-09-02,Parametric (t + EWMA),7.3161,0.0059
2025-09-02,Monte Carlo (Student-t),4.9904,
2025-09-03,Parametric (t + EWMA),7.3163,0.0058
2025-09-03,Monte Carlo (Student-t),4.9894,
2025-09-04,Parametric (t + EWMA),7.3139,0.0057
2025-09-04,Monte Carlo (Student-t),4.9884,
2025-09-05,Parametric (t + EWMA),7.3152,0.0057
2025-09-05,Monte Carlo (Student-t),4.9878,
2025-09-08,Parametric (t + EWMA),7.2766,0.0055
2025-09-08,Monte Carlo (Student-t),4.9761,
2025-09-09,Parametric (t + EWMA),7.2716,0.0054
2025-09-09,Monte Carlo (Student-t),4.9743,
2025-09-10,Parametric (t + EWMA),7.2713,0.0052
2025-09-10,Monte Carlo (Student-t),4.9736,
2025-09-11,Parametric (t + EWMA),7.2644,0.0051
2025-09-11,Monte Carlo (Student-t),4.9724,
2025-09-12,Parametric (t + EWMA),7.2851,0.0058
2025-09-12,Monte Carlo (Student-t),4.9739,
2025-09-15,Parametric (t + EWMA),7.2985,0.0058
2025-09-15,Monte Carlo (Student-t),4.9729,
2025-09-16,Parametric (t + EWMA),7.2945,0.0056
2025-09-16,Monte Carlo (Student-t),4.9724,
2025-09-17,Parametric (t + EWMA),7.2946,0.0055
2025-09-17,Monte Carlo (Student-t),4.9724,
2025-09-18,Parametric (t + EWMA),7.2913,0.0054
2025-09-18,Monte Carlo (Student-t),4.9715,
2025-09-19,Parametric (t + EWMA),7.2918,0.0054
2025-09-19,Monte Carlo (Student-t),4.9708,
2025-09-22,Parametric (t + EWMA),7.2743,0.0052
2025-09-22,Monte Carlo (Student-t),4.9678,
2025-09-23,Parametric (t + EWMA),7.2685,0.0051
2025-09-23,Monte Carlo (Student-t),4.9663,
2025-09-24,Parametric (t + EWMA),7.2714,0.0049
2025-09-24,Monte Carlo (Student-t),4.9664,
2025-09-25,Parametric (t + EWMA),7.2702,0.0048
2025-09-25,Monte Carlo (Student-t),4.9655,
2025-09-26,Parametric (t + EWMA),7.2781,0.0048
2025-09-26,Monte Carlo (Student-t),4.9649,
2025-09-29,Parametric (t + EWMA),7.2241,0.0049
2025-09-29,Monte Carlo (Student-t),4.9477,
2025-09-30,Parametric (t + EWMA),7.2198,0.0047
2025-09-30,Monte Carlo (Student-t),4.9459,
2025-10-01,Parametric (t + EWMA),7.2155,0.0047
2025-10-01,Monte Carlo (Student-t),4.9448,
2025-10-02,Parametric (t + EWMA),7.2185,0.0047
2025-10-02,Monte Carlo (Student-t),4.9441,
2025-10-03,Parametric (t + EWMA),7.2098,0.0046
2025-10-03,Monte Carlo (Student-t),4.9407,
2025-10-06,Parametric (t + EWMA),7.1753,0.0045
2025-10-06,Monte Carlo (Student-t),4.9241,
2025-10-07,Parametric (t + EWMA),7.178,0.0044
2025-10-07,Monte Carlo (Student-t),4.9241,
2025-10-08,Parametric (t + EWMA),7.1811,0.0044
2025-10-08,Monte Carlo (Student-t),4.9233,
2025-10-09,Parametric (t + EWMA),7.1803,0.0043
2025-10-09,Monte Carlo (Student-t),4.9225,
2025-10-10,Parametric (t + EWMA),7.1696,0.0043
2025-10-10,Monte Carlo (Student-t),4.914,
2025-10-13,Parametric (t + EWMA),6.8946,0.0064
2025-10-13,Monte Carlo (Student-t),4.921,
2025-10-14,Parametric (t + EWMA),6.9027,0.0067
2025-10-14,Monte Carlo (Student-t),4.9189,
2025-10-15,Parametric (t + EWMA),6.9003,0.0067
2025-10-15,Monte Carlo (Student-t),4.9182,
2025-10-16,Parametric (t + EWMA),6.8951,0.0065
2025-10-16,Monte Carlo (Student-t),4.9172,
2025-10-17,Parametric (t + EWMA),6.905,0.0066
2025-10-17,Monte Carlo (Student-t),4.9152,
2025-10-20,Parametric (t + EWMA),6.9124,0.0065
2025-10-20,Monte Carlo (Student-t),4.9153,
2025-10-21,Parametric (t + EWMA),6.9223,0.0068
2025-10-21,Monte Carlo (Student-t),4.916,
2025-10-22,Parametric (t + EWMA),6.9169,0.0066
2025-10-22,Monte Carlo (Student-t),4.915,
2025-10-23,Parametric (t + EWMA),6.9182,0.0065
2025-10-23,Monte Carlo (Student-t),4.9144,
2025-10-24,Parametric (t + EWMA),6.9152,0.0064
2025-10-24,Monte Carlo (Student-t),4.9127,
2025-10-27,Parametric (t + EWMA),6.9086,0.0062
2025-10-27,Monte Carlo (Student-t),4.9089,
2025-10-28,Parametric (t + EWMA),6.9206,0.0064
2025-10-28,Monte Carlo (Student-t),4.91,
2025-10-29,Parametric (t + EWMA),6.9219,0.0063
2025-10-29,Monte Carlo (Student-t),4.9094,
2025-10-30,Parametric (t + EWMA),6.9464,0.0067
2025-10-30,Monte Carlo (Student-t),4.911,
2025-10-31,Parametric (t + EWMA),6.949,0.0066
2025-10-31,Monte Carlo (Student-t),4.9106,
2025-11-03,Parametric (t + EWMA),6.9525,0.0064
2025-11-03,Monte Carlo (Student-t),4.9103,
2025-11-04,Parametric (t + EWMA),6.9559,0.0062
2025-11-04,Monte Carlo (Student-t),4.9105,
2025-11-05,Parametric (t + EWMA),6.9586,0.0062
2025-11-05,Monte Carlo (Student-t),4.9082,
2025-11-06,Parametric (t + EWMA),6.9563,0.0061
2025-11-06,Monte Carlo (Student-t),4.9075,
2025-11-07,Parametric (t + EWMA),6.9716,0.0063
2025-11-07,Monte Carlo (Student-t),4.9079,
2025-11-10,Parametric (t + EWMA),6.9795,0.0062
2025-11-10,Monte Carlo (Student-t),4.9094,
2025-11-11,Parametric (t + EWMA),6.9884,0.0062
2025-11-11,Monte Carlo (Student-t),4.9102,
2025-11-12,Parametric (t + EWMA),6.9992,0.0064
2025-11-12,Monte Carlo (Student-t),4.9113,
2025-11-13,Parametric (t + EWMA),6.9991,0.0064
2025-11-13,Monte Carlo (Student-t),4.9108,
2025-11-14,Parametric (t + EWMA),7.024,0.0068
2025-11-14,Monte Carlo (Student-t),4.9125,
2025-11-17,Parametric (t + EWMA),7.0253,0.0066
2025-11-17,Monte Carlo (Student-t),4.912,
2025-11-18,Parametric (t + EWMA),7.048,0.0068
2025-11-18,Monte Carlo (Student-t),4.9135,
2025-11-19,Parametric (t + EWMA),7.0547,0.0067
2025-11-19,Monte Carlo (Student-t),4.9139,
2025-11-20,Parametric (t + EWMA),7.0492,0.0065
2025-11-20,Monte Carlo (Student-t),4.9129,
2025-11-21,Parametric (t + EWMA),7.0798,0.0072
2025-11-21,Monte Carlo (Student-t),4.9161,
2025-11-24,Parametric (t + EWMA),7.1008,0.0077
2025-11-24,Monte Carlo (Student-t),4.9198,
2025-11-25,Parametric (t + EWMA),7.1035,0.0076
2025-11-25,Monte Carlo (Student-t),4.9201,
2025-11-26,Parametric (t + EWMA),7.1149,0.0079
2025-11-26,Monte Carlo (Student-t),4.9217,
2025-11-28,Parametric (t + EWMA),7.1107,0.0078
2025-11-28,Monte Carlo (Student-t),4.921,
2025-12-01,Parametric (t + EWMA),7.1236,0.0077
