date,method,confidence,window_start,window_days,var_usd,es_usd,actual_pnl_usd,breach
2025-01-21,Parametric (t + EWMA),0.95,2020-02-21,1235,12677175.28,17316231.01,12472967.2,False
2025-01-21,Parametric (t + EWMA),0.97,2020-02-21,1235,15032152.1,19687871.61,12472967.2,False
2025-01-21,Parametric (t + EWMA),0.99,2020-02-21,1235,20045869.77,24889883.02,12472967.2,False
2025-01-22,Historical,0.95,2020-02-24,1235,18330539.71,32111182.78,1731927.11,False
2025-01-22,Historical,0.97,2020-02-24,1235,24796801.17,39333069.28,1731927.11,False
2025-01-22,Historical,0.99,2020-02-24,1235,34557551.58,57433725.26,1731927.11,False
2025-01-22,Monte Carlo (Student-t),0.95,2020-02-24,1235,20465175.46,29647561.97,1731927.11,False
2025-01-22,Monte Carlo (Student-t),0.97,2020-02-24,1235,24873432.02,34500221.59,1731927.11,False
2025-01-22,Monte Carlo (Student-t),0.99,2020-02-24,1235,34756418.88,45822811.89,1731927.11,False
2025-01-22,Parametric (Normal),0.95,2020-02-24,1235,21461462.32,27117116.55,1731927.11,False
2025-01-22,Parametric (Normal),0.97,2020-02-24,1235,24654870.57,29896524.83,1731927.11,False
2025-01-22,Parametric (Normal),0.99,2020-02-24,1235,30685373.15,35271872.57,1731927.11,False
2025-01-22,Parametric (t + EWMA),0.95,2020-02-24,1235,13150921.57,17956508.16,1731927.11,False
2025-01-22,Parametric (t + EWMA),0.97,2020-02-24,1235,15590949.32,20413109.49,1731927.11,False
2025-01-22,Parametric (t + EWMA),0.99,2020-02-24,1235,20784609.28,25800260.78,1731927.11,False
2025-01-23,Historical,0.95,2020-02-24,1236,18329730.76,32111182.78,8508850.2,False
2025-01-23,Historical,0.97,2020-02-24,1236,24792570.71,39333069.28,8508850.2,False
2025-01-23,Historical,0.99,2020-02-24,1236,34556827.02,57433725.26,8508850.2,False
2025-01-23,Monte Carlo (Student-t),0.95,2020-02-24,1236,20329810.36,30260633.92,8508850.2,False
2025-01-23,Monte Carlo (Student-t),0.97,2020-02-24,1236,24765217.76,35508569.85,8508850.2,False
2025-01-23,Monte Carlo (Student-t),0.99,2020-02-24,1236,36246654.51,48107507.26,8508850.2,False
2025-01-23,Parametric (Normal),0.95,2020-02-24,1236,21451736.91,27105111.76,8508850.2,False
2025-01-23,Parametric (Normal),0.97,2020-02-24,1236,24643858.12,29883399.85,8508850.2,False
2025-01-23,Parametric (Normal),0.99,2020-02-24,1236,30671930.25,35256581.18,8508850.2,False
2025-01-23,Parametric (t + EWMA),0.95,2020-02-24,1236,12741814.55,17408890.26,8508850.2,False
2025-01-23,Parametric (t + EWMA),0.97,2020-02-24,1236,15111113.03,19794822.25,8508850.2,False
2025-01-23,Parametric (t + EWMA),0.99,2020-02-24,1236,20155106.44,25027949.63,8508850.2,False
2025-01-24,Historical,0.95,2020-02-24,1237,18328921.8,32111182.78,-1704254.3,False
2025-01-24,Historical,0.97,2020-02-24,1237,24788340.24,39333069.28,-1704254.3,False
2025-01-24,Historical,0.99,2020-02-24,1237,34556102.46,57433725.26,-1704254.3,False
2025-01-24,Monte Carlo (Student-t),0.95,2020-02-24,1237,19856809.17,29458813.49,-1704254.3,False
2025-01-24,Monte Carlo (Student-t),0.97,2020-02-24,1237,24325467.66,34556498.69,-1704254.3,False
2025-01-24,Monte Carlo (Student-t),0.99,2020-02-24,1237,34571772.38,46547496.82,-1704254.3,False
